source_index,Column1,simple_sent(prompt1),simple_sent(prompt2),Prompt1,Prompt2,Model
37241,"Panurus biarmicus La Panure à moustaches (Panurus biarmicus), anciennement appelée mésange à moustaches, est une espèce de passereaux d'Europe, l'unique représentante du genre Panurus et de la famille des Panuridae.","La Panure à moustaches est un oiseau d'Europe, le seul de son genre et de sa famille.",,"Simplifiez chacune de ces 50 phrases originales, une par une. Conservez les informations les plus importantes de la phrase originale. Les phrases simplifiées se caractérisent par des structures simples et l'utilisage des mots faciles. Répondez en énumérant uniquement les phrases simplifiées, sans numérotation ni autres remarques. PHRASES ORIGINALES : ",,ChatGPT-4o
,,,,,,
35958,"Monsieur Wens, surnom de Wenceslas Vorobeïtchik, est un personnage de roman policier créé par l'écrivain belge Stanislas-André Steeman en 1930.",Monsieur Wens est un personnage de roman policier créé par l'écrivain belge Stanislas-André Steeman en 1930.,,"Simplifiez chacune de ces 50 phrases originales, une par une. Conservez les informations les plus importantes de la phrase originale. Les phrases simplifiées se caractérisent par des structures simples et l'utilisage des mots faciles. Répondez en énumérant uniquement les phrases simplifiées, sans numérotation ni autres remarques. PHRASES ORIGINALES : ",,ChatGPT-4o
,,,,,,
13955,"Ils permettent aux enfants de s'amuser en faisant des châteaux de sable avec des seaux, en utilisant des outils comme râteaux et pelles, ou encore en apprenant à manipuler le sable.",Les enfants s'amusent en construisant des châteaux de sable avec des seaux et des outils comme des pelles.,,"Simplifiez chacune de ces 50 phrases originales, une par une. Conservez les informations les plus importantes de la phrase originale. Les phrases simplifiées se caractérisent par des structures simples et l'utilisage des mots faciles. Répondez en énumérant uniquement les phrases simplifiées, sans numérotation ni autres remarques. PHRASES ORIGINALES : ",,ChatGPT-4o
,,,,,,
39745,"Saint-Ignace-de-Loyola est une municipalité du Québec (Canada), située dans la MRC de D'Autray, dans la région administrative de Lanaudière.","Saint-Ignace-de-Loyola est une ville du Québec, au Canada, située dans la région de Lanaudière.",,"Simplifiez chacune de ces 50 phrases originales, une par une. Conservez les informations les plus importantes de la phrase originale. Les phrases simplifiées se caractérisent par des structures simples et l'utilisage des mots faciles. Répondez en énumérant uniquement les phrases simplifiées, sans numérotation ni autres remarques. PHRASES ORIGINALES : ",,ChatGPT-4o
,,,,,,
25619,"Le hanafisme ou hanéfisme (en arabe : ????, ?anaf?, Hanefi en turc) est la plus ancienne des quatre écoles religieuses islamiques sunnites  (madhhab) de droit musulman et de jurisprudence (fiqh).",Le hanafisme est l'une des plus anciennes écoles de droit religieux sunnite.,,"Simplifiez chacune de ces 50 phrases originales, une par une. Conservez les informations les plus importantes de la phrase originale. Les phrases simplifiées se caractérisent par des structures simples et l'utilisage des mots faciles. Répondez en énumérant uniquement les phrases simplifiées, sans numérotation ni autres remarques. PHRASES ORIGINALES : ",,ChatGPT-4o
,,,,,,
27601,"Le parc national des Cévennes est un parc national français créé le 2 septembre 1970, couvrant la région naturelle des Cévennes et situé principalement dans les départements de la Lozère, du Gard et de l'Ardèche.","Le parc national des Cévennes est un parc en France créé en 1970, situé dans les départements de Lozère, Gard et Ardèche.",,"Simplifiez chacune de ces 50 phrases originales, une par une. Conservez les informations les plus importantes de la phrase originale. Les phrases simplifiées se caractérisent par des structures simples et l'utilisage des mots faciles. Répondez en énumérant uniquement les phrases simplifiées, sans numérotation ni autres remarques. PHRASES ORIGINALES : ",,ChatGPT-4o
,,,,,,
