,source_index,original_sent,simplified_sent,prompt,Lev_distance
0,117533,"The islands of the Caribbean Sea, collectively known as the West Indies, are sorted by size and location into the Bahamas (or Lucayan archipelago, which includes the Turks and Caicos Islands) , the Lesser Antilles, and the Greater Antilles.","The Caribbean islands are sorted into the Bahamas, the Lesser Antilles, and the Greater Antilles.",Llama-3.1-70b-Versatile (via groq),144
1,3709,Some websites do not allow typographic quotation marks or apostrophes in posts (one such example being YouTube) .,Some websites do not allow typographic quotation marks or apostrophes in posts.,Llama-3.1-70b-Versatile (via groq),34
2,50928,Ecological yield is the harvestable population growth of an ecosystem.,Ecological yield is the harvestable population growth of an ecosystem.,Llama-3.1-70b-Versatile (via groq),0
3,126524,"When he was 16-years-old, Davey's mother left with him to England in 1931.",Davey's mother left with him to England in 1931 when he was 16.,Llama-3.1-70b-Versatile (via groq),41
4,84024,"With each legion having 5,120 legionaries usually supported by an equal number of auxiliary troops, the total force available to a legion commander during the Pax Romana probably ranged from 11,000 downwards, with the more prestigious legions and those stationed on hostile borders or in restive provinces tending to have more auxiliaries.","A legion commander had a force of around 11,000 troops during the Pax Romana.",Llama-3.1-70b-Versatile (via groq),281
5,94568,"Haylie Katherine Duff (born February 19, 1985) is an American actress and singer-songwriter.",Haylie Duff is an American actress and singer-songwriter.,Llama-3.1-70b-Versatile (via groq),35
6,158390,The abridged edition of this book published in 1960 is reviewed in the Istorijski glasnik and the same review echoed in the Historical abstracts.,The abridged edition of this book was reviewed in the Istorijski glasnik.,Llama-3.1-70b-Versatile (via groq),74
7,125452,"The Hanseatic city of Greifswald is enclosed by the district, but does not belong to it.",The Hanseatic city of Greifswald is enclosed by the district but does not belong to it.,Llama-3.1-70b-Versatile (via groq),1
8,42875,"Aida, Amonasro and the captured Ethiopians plead with the Egyptian King for mercy, but the Egyptians call for their death (Aida, Amneris, Radames, The King, Amonasro, chorus: Che veggo! . .",Aida and others plead with the Egyptian King for mercy.,Llama-3.1-70b-Versatile (via groq),136
9,10219,"It peaked at number 81 on the Pop 100 chart, and number 74 on the Billboard Hot Digital Songs chart.",It peaked at number 81 on the Pop 100 chart.,Llama-3.1-70b-Versatile (via groq),56
10,153591,For other uses of Gisborne see Gisborne (disambiguation) .,See Gisborne for other uses.,Llama-3.1-70b-Versatile (via groq),41
