,source_index,original_sent,simplified_sent,prompt,Lev_distance
0,35958,"Monsieur Wens, surnom de Wenceslas Vorobeïtchik, est un personnage de roman policier créé par l'écrivain belge Stanislas-André Steeman en 1930.",Monsieur Wens est un personnage de roman policier créé par Stanislas-André Steeman.,Llama-3.1-70b-Versatile (via groq),60
1,13955,"Ils permettent aux enfants de s'amuser en faisant des châteaux de sable avec des seaux, en utilisant des outils comme râteaux et pelles, ou encore en apprenant à manipuler le sable.",Les enfants peuvent s'amuser en faisant des châteaux de sable avec des outils.,Llama-3.1-70b-Versatile (via groq),114
2,39745,"Saint-Ignace-de-Loyola est une municipalité du Québec (Canada), située dans la MRC de D'Autray, dans la région administrative de Lanaudière.",Saint-Ignace-de-Loyola est une municipalité du Québec au Canada.,Llama-3.1-70b-Versatile (via groq),76
3,25619,"Le hanafisme ou hanéfisme (en arabe : ????, ?anaf?, Hanefi en turc) est la plus ancienne des quatre écoles religieuses islamiques sunnites  (madhhab) de droit musulman et de jurisprudence (fiqh).",Le hanafisme est une école religieuse islamique qui date de longtemps.,Llama-3.1-70b-Versatile (via groq),132
4,27601,"Le parc national des Cévennes est un parc national français créé le 2 septembre 1970, couvrant la région naturelle des Cévennes et situé principalement dans les départements de la Lozère, du Gard et de l'Ardèche.",Le parc national des Cévennes est un parc national français créé en 1970.,Llama-3.1-70b-Versatile (via groq),140
5,38623,"Quand il y a transformation, le lait majoritairement mis en uvre est le lait de vache, mais on utilise également le lait cru de chèvre, de brebis, de chamelle, de yak, de bufflonne...",On utilise souvent le lait de vache pour faire des produits laitiers.,Llama-3.1-70b-Versatile (via groq),136
6,615,Age of Empires est une série de jeux de stratégie en temps réel développés par Ensemble Studios et publiés par Microsoft Studios.,Age of Empires est une série de jeux de stratégie en temps réel.,Llama-3.1-70b-Versatile (via groq),65
7,1537,"Antigone est une pièce en un acte de Jean Anouilh représentée pour la première fois au théâtre de l'Atelier à Paris le 4 février 1944, durant l'Occupation allemande, dans une mise en scène, des décors et des costumes d'André Barsacq.",Antigone est une pièce de théâtre écrite par Jean Anouilh.,Llama-3.1-70b-Versatile (via groq),184
8,7499,Dortmund (/?d??tm?nt/ Écouter ; en latin : Tremonia ; en bas allemand : Düörpm ; en ancien français : Trémoigne) est une ville allemande située dans le Land de Rhénanie-du-Nord-Westphalie à l'est du bassin de la Ruhr.,Dortmund est une ville allemande située dans le Land de Rhénanie-du-Nord-Westphalie.,Llama-3.1-70b-Versatile (via groq),133
9,14589,"Jean de Léry, né en 1536 à La Margelle, terre de Saint-Seine (actuellement la Côte-d'Or en France), mort vers 1613 à L'Isle (Suisse) à lâge de 77 ans, est un grand voyageur et écrivain français, auteur de lHistoire d'un voyage fait en la terre du Brésil.",Jean de Léry était un grand voyageur et écrivain français.,Llama-3.1-70b-Versatile (via groq),198
