,source_index,original_sent,simplified_sent,prompt,Lev_distance
0,5185,"Mit der 1-2-3-Karte soll man in Zukunft für alle öffentliche Verkehrsmittel nur einen Euro pro Tag bezahlen, solange man in nur einem Bundesland fährt.",Mit der 1-2-3-Karte soll man nur einen Euro pro Tag für öffentliche Verkehrsmittel bezahlen.,Llama-3.1-70b-Versatile (via groq),87
1,10329,Zusammen mit dem Friedens-Nobelpreis bekommt das WFP ein Preisgeld von rund 950.000 Euro.,Das WFP bekommt einen Preis von rund 950.000 Euro.,Llama-3.1-70b-Versatile (via groq),46
2,1178,Boris Johnson droht mit einem harten Brexit.,Boris Johnson droht mit einem harten Austritt aus der EU.,Llama-3.1-70b-Versatile (via groq),17
3,11229,Der Käufer will für die Öffentlichkeit unerkannt bleiben.,Der Käufer will anonym bleiben.,Llama-3.1-70b-Versatile (via groq),30
4,8935,Die Zahl der Kurzarbeiter steigt weiter.,Die Zahl der Kurzarbeiter steigt.,Llama-3.1-70b-Versatile (via groq),7
5,4603,In Australien kämpft die Feuerwehr gegen starke Busch-Brände.,In Australien kämpft die Feuerwehr gegen starke Brände.,Llama-3.1-70b-Versatile (via groq),6
6,25,Durch den Brand entstand eine große schwarze Rauchwolke.,Durch den Brand entstand eine große schwarze Rauchwolke.,Llama-3.1-70b-Versatile (via groq),0
7,8485,Der russische Präsident Wladimir Putin erinnerte an die zahlreichen Toten des Zweiten Weltkriegs.,Der russische Präsident Wladimir Putin erinnerte an die Toten des Zweiten Weltkriegs.,Llama-3.1-70b-Versatile (via groq),12
8,4229,Der Müll stammt vom Festland und von Fischerbooten.,Der Müll stammt vom Festland und von Booten.,Llama-3.1-70b-Versatile (via groq),8
9,4722,Erst mit der Angelobung wird die Regierung eingesetzt und kann mit der Arbeit beginnen.,Erst nach der Angelobung kann die Regierung arbeiten.,Llama-3.1-70b-Versatile (via groq),43
10,2381,"Sie werfen ihm vor, nicht genug gegen die Brände zu tun.","Sie werfen ihm vor, nicht genug gegen die Brände zu tun.",Llama-3.1-70b-Versatile (via groq),0
11,5498,Laut einer Studie sind die meisten Menschen in Österreich keine Vielflieger.,Die meisten Menschen in Österreich fliegen nicht oft.,Llama-3.1-70b-Versatile (via groq),39
12,2671,Später arbeitete Seisenbacher als Judo-Trainer.,Später arbeitete Seisenbacher als Trainer.,Llama-3.1-70b-Versatile (via groq),5
13,8566,"Das bedeutet, dass das Volksbegehren im Parlament besprochen werden muss.","Das bedeutet, dass das Volksbegehren im Parlament besprochen werden muss.",Llama-3.1-70b-Versatile (via groq),0
14,12056,"In Australien hofft man, dass es nicht wieder zu einer Feuerkatastrophe wie im letzten Jahr kommt.","In Australien hofft man, dass es nicht wieder zu Bränden kommt.",Llama-3.1-70b-Versatile (via groq),39
15,4366,Mindestens 5 Tote bei Vulkanausbruch in Neuseeland.,Mindestens 5 Menschen starben bei einem Vulkanausbruch.,Llama-3.1-70b-Versatile (via groq),34
16,5815,Nicht in jedem Spital in Österreich kann der Corona-Virus behandelt werden. 59 Spitäler wurden nun speziell dafür ausgerüstet.,Nicht alle Krankenhäuser in Österreich können den Corona-Virus behandeln.,Llama-3.1-70b-Versatile (via groq),79
17,10178,Österreichs Verfassung ist 100 Jahre alt.,Österreichs Verfassung ist 100 Jahre alt.,Llama-3.1-70b-Versatile (via groq),0
18,9209,"In Hiroshima hat deshalb am Donnerstag eine Feier stattgefunden, bei der an die vielen Opfer erinnert wurde.",In Hiroshima wurde an die Opfer erinnert.,Llama-3.1-70b-Versatile (via groq),69
19,2238,Ein sehr wichtiges Thema für die SPÖ in diesem Nationalrats-Wahlkampf ist der Klimawandel.,Der Klimawandel ist ein wichtiges Thema für die SPÖ.,Llama-3.1-70b-Versatile (via groq),68
20,9290,Am Sonntag hat in Weißrussland die Präsidenten-Wahl stattgefunden.,In Weißrussland hat die Präsidenten-Wahl stattgefunden.,Llama-3.1-70b-Versatile (via groq),20
21,2421,"Die ÖVP will den ""Falter"" verklagen.","Die ÖVP will den ""Falter"" verklagen.",Llama-3.1-70b-Versatile (via groq),0
22,6808,Diese Patienten können oft nicht mehr alleine atmen und brauchen dafür eine spezielle Maschine.,Diese Patienten brauchen eine spezielle Maschine zum Atmen.,Llama-3.1-70b-Versatile (via groq),56
23,5711,Bis zum Jahr 2024 wird sie wahrscheinlich ein jährliches Defizit von rund 80 Millionen Euro aufweisen.,Bis 2024 wird es wahrscheinlich ein Defizit von 80 Millionen Euro geben.,Llama-3.1-70b-Versatile (via groq),34
24,1934,"Bis Donnerstag haben das die Grünen, die KPÖ und die Partei ""Der Wandel"" geschafft.","Die Grünen, die KPÖ und die Partei ""Der Wandel"" haben es geschafft.",Llama-3.1-70b-Versatile (via groq),34
25,8693,Derzeit sind in Österreich 403.382 Personen in Kurzarbeit.,Derzeit sind 403.382 Menschen in Kurzarbeit.,Llama-3.1-70b-Versatile (via groq),18
26,7708,"Viele fürchten aber, dass viele Lokale diese Schließungen wegen der Corona-Krise nicht überleben werden.","Viele fürchten, dass viele Lokale schließen werden.",Llama-3.1-70b-Versatile (via groq),53
27,2592,"Nachbarn sagen, dass er und die Frau sich scheiden lassen wollten.","Nachbarn sagen, dass er und seine Frau sich scheiden lassen wollten.",Llama-3.1-70b-Versatile (via groq),3
28,8731,Laut Medienberichten sollen die flüchtigen Verdächtigen ein schwarzes Auto des Typs Ford Tourneo fahren.,Die flüchtigen Verdächtigen fahren ein schwarzes Auto.,Llama-3.1-70b-Versatile (via groq),64
29,7576,"Er kam aber nicht weit, denn die Polizei stoppte ihn nach wenigen Kilometern.","Er kam nicht weit, weil die Polizei ihn stoppte.",Llama-3.1-70b-Versatile (via groq),36
30,6563,"Während Corona-Krise wird niemandem Strom, Gas und Wärme abgedreht.",Während der Corona-Krise wird niemandem der Strom abgedreht.,Llama-3.1-70b-Versatile (via groq),21
31,12621,Laut der Umfrage hat etwa die Hälfte aller Schüler Schwierigkeiten mit dem Aufstehen in der Früh.,Die Hälfte aller Schüler hat Schwierigkeiten mit dem Aufstehen.,Llama-3.1-70b-Versatile (via groq),43
32,12610,Das besagt eine Studie.,Das sagt eine Studie.,Llama-3.1-70b-Versatile (via groq),2
33,9038,Einige der Neuinfektionen gab es in der Stadt Dalian.,Einige Neuinfektionen gab es in der Stadt Dalian.,Llama-3.1-70b-Versatile (via groq),4
34,2345,"Die Politiker glauben, dass der Premier-Minister sie ausgetrickst hat, um endlich zu einer Entscheidung über den Brexit zu kommen.","Die Politiker glauben, dass der Premier-Minister sie ausgetrickst hat.",Llama-3.1-70b-Versatile (via groq),60
35,12472,Der Wand-Teppich gehört zum UNESCO-Weltkulturerbe.,Der Wand-Teppich ist ein UNESCO-Weltkulturerbe.,Llama-3.1-70b-Versatile (via groq),8
36,1431,US-Amerikaner verschlang 71 Hotdogs in 10 Minuten.,Ein US-Amerikaner aß 71 Hotdogs in 10 Minuten.,Llama-3.1-70b-Versatile (via groq),13
37,9027,Am stärksten war der Rückgang in Wien.,Der Rückgang war am stärksten in Wien.,Llama-3.1-70b-Versatile (via groq),22
