source_index,OG_sent,simple_sent(prompt1),simple_sent(prompt2),Prompt1,Prompt2,Model
57224,"Toxicofera (Greek for ""those who bear toxins"") , is a hypothetical clade which represents about 4600 species (nearly 60 %) of extant squamates (scaled lizards.)",Toxicofera is a hypothetical clade of about 4600 species of scaled lizards.,Toxicofera is a group that includes about 60% of all lizards that have scales.,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
117533,"The islands of the Caribbean Sea, collectively known as the West Indies, are sorted by size and location into the Bahamas (or Lucayan archipelago, which includes the Turks and Caicos Islands) , the Lesser Antilles, and the Greater Antilles.","The Caribbean islands are sorted into the Bahamas, the Lesser Antilles, and the Greater Antilles.","The islands in the Caribbean Sea are divided into three groups: the Bahamas, the Lesser Antilles, and the Greater Antilles.","Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
3709,Some websites do not allow typographic quotation marks or apostrophes in posts (one such example being YouTube) .,Some websites do not allow typographic quotation marks or apostrophes in posts.,"Some websites do not allow certain punctuation marks in posts, like YouTube.","Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
50928,Ecological yield is the harvestable population growth of an ecosystem.,Ecological yield is the harvestable population growth of an ecosystem.,Ecological yield is the amount of growth in an ecosystem that can be harvested.,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
126524,"When he was 16-years-old, Davey's mother left with him to England in 1931.",Davey's mother left with him to England in 1931 when he was 16.,"When Davey was 16, he moved to England with his mother in 1931.","Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
84024,"With each legion having 5,120 legionaries usually supported by an equal number of auxiliary troops, the total force available to a legion commander during the Pax Romana probably ranged from 11,000 downwards, with the more prestigious legions and those stationed on hostile borders or in restive provinces tending to have more auxiliaries.","A legion commander had a force of around 11,000 troops during the Pax Romana.","A Roman legion had about 5,120 soldiers and was often supported by an equal number of extra troops.","Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
94568,"Haylie Katherine Duff (born February 19, 1985) is an American actress and singer-songwriter.",Haylie Duff is an American actress and singer-songwriter.,"Haylie Duff is an American actress and singer born on February 19, 1985.","Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",Llama-3.1-70b-Versatile (via groq)
,,,,,,
