,source_index,original_sent,simplified_sent,prompt,Lev_distance
0,35958,"Monsieur Wens, surnom de Wenceslas Vorobeïtchik, est un personnage de roman policier créé par l'écrivain belge Stanislas-André Steeman en 1930.",Monsieur Wens est un personnage de roman policier créé par l'écrivain belge Stanislas-André Steeman en 1930.,ChatGPT-4o,35
1,13955,"Ils permettent aux enfants de s'amuser en faisant des châteaux de sable avec des seaux, en utilisant des outils comme râteaux et pelles, ou encore en apprenant à manipuler le sable.",Les enfants s'amusent en construisant des châteaux de sable avec des seaux et des outils comme des pelles.,ChatGPT-4o,93
2,39745,"Saint-Ignace-de-Loyola est une municipalité du Québec (Canada), située dans la MRC de D'Autray, dans la région administrative de Lanaudière.","Saint-Ignace-de-Loyola est une ville du Québec, au Canada, située dans la région de Lanaudière.",ChatGPT-4o,55
3,25619,"Le hanafisme ou hanéfisme (en arabe : ????, ?anaf?, Hanefi en turc) est la plus ancienne des quatre écoles religieuses islamiques sunnites  (madhhab) de droit musulman et de jurisprudence (fiqh).",Le hanafisme est l'une des plus anciennes écoles de droit religieux sunnite.,ChatGPT-4o,135
4,27601,"Le parc national des Cévennes est un parc national français créé le 2 septembre 1970, couvrant la région naturelle des Cévennes et situé principalement dans les départements de la Lozère, du Gard et de l'Ardèche.","Le parc national des Cévennes est un parc en France créé en 1970, situé dans les départements de Lozère, Gard et Ardèche.",ChatGPT-4o,96
5,38623,"Quand il y a transformation, le lait majoritairement mis en uvre est le lait de vache, mais on utilise également le lait cru de chèvre, de brebis, de chamelle, de yak, de bufflonne...","Le lait de vache est le plus utilisé, mais on utilise aussi du lait de chèvre, brebis, et d'autres animaux.",ChatGPT-4o,113
6,615,Age of Empires est une série de jeux de stratégie en temps réel développés par Ensemble Studios et publiés par Microsoft Studios.,Age of Empires est une série de jeux de stratégie développés par Ensemble Studios et publiés par Microsoft.,ChatGPT-4o,22
7,1537,"Antigone est une pièce en un acte de Jean Anouilh représentée pour la première fois au théâtre de l'Atelier à Paris le 4 février 1944, durant l'Occupation allemande, dans une mise en scène, des décors et des costumes d'André Barsacq.",Antigone est une pièce de théâtre de Jean Anouilh jouée pour la première fois en 1944 à Paris.,ChatGPT-4o,154
8,7499,Dortmund (/?d??tm?nt/ Écouter ; en latin : Tremonia ; en bas allemand : Düörpm ; en ancien français : Trémoigne) est une ville allemande située dans le Land de Rhénanie-du-Nord-Westphalie à l'est du bassin de la Ruhr.,Dortmund est une ville allemande située dans l'est de la région de la Ruhr.,ChatGPT-4o,151
9,14589,"Jean de Léry, né en 1536 à La Margelle, terre de Saint-Seine (actuellement la Côte-d'Or en France), mort vers 1613 à L'Isle (Suisse) à lâge de 77 ans, est un grand voyageur et écrivain français, auteur de lHistoire d'un voyage fait en la terre du Brésil.",Jean de Léry est un écrivain français né en 1536 et auteur d'un livre sur son voyage au Brésil.,ChatGPT-4o,187
