source_index,OG_sent,simple_sent(prompt1),simple_sent(prompt2),Prompt1,Prompt2,Model
57224,"Toxicofera (Greek for ""those who bear toxins"") , is a hypothetical clade which represents about 4600 species (nearly 60 %) of extant squamates (scaled lizards.)","Toxicofera is a group of about 4,600 species of lizards.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
117533,"The islands of the Caribbean Sea, collectively known as the West Indies, are sorted by size and location into the Bahamas (or Lucayan archipelago, which includes the Turks and Caicos Islands) , the Lesser Antilles, and the Greater Antilles.","The Caribbean Sea islands are called the West Indies and include the Bahamas, the Lesser Antilles, and the Greater Antilles.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
3709,Some websites do not allow typographic quotation marks or apostrophes in posts (one such example being YouTube) .,"Some websites, like YouTube, do not allow certain types of quotation marks or apostrophes.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
50928,Ecological yield is the harvestable population growth of an ecosystem.,Ecological yield is the growth of a population that can be harvested from an ecosystem.,,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
126524,"When he was 16-years-old, Davey's mother left with him to England in 1931.","When he was 16, Davey’s mother took him to England in 1931.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
84024,"With each legion having 5,120 legionaries usually supported by an equal number of auxiliary troops, the total force available to a legion commander during the Pax Romana probably ranged from 11,000 downwards, with the more prestigious legions and those stationed on hostile borders or in restive provinces tending to have more auxiliaries.","Each Roman legion had about 5,120 soldiers and often more support troops, totaling around 11,000.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
94568,"Haylie Katherine Duff (born February 19, 1985) is an American actress and singer-songwriter.","Haylie Duff, born on February 19, 1985, is an American actress and singer.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
158390,The abridged edition of this book published in 1960 is reviewed in the Istorijski glasnik and the same review echoed in the Historical abstracts.,"The 1960 abridged edition of this book was reviewed in Istorijski glasnik, and the review was also mentioned in Historical abstracts.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
125452,"The Hanseatic city of Greifswald is enclosed by the district, but does not belong to it.",Greifswald is a Hanseatic city that is surrounded by the district but does not belong to it.,,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
42875,"Aida, Amonasro and the captured Ethiopians plead with the Egyptian King for mercy, but the Egyptians call for their death (Aida, Amneris, Radames, The King, Amonasro, chorus: Che veggo! . .","In the opera, Aida, Amonasro, and captured Ethiopians ask the Egyptian King for mercy, but he orders their deaths.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
10219,"It peaked at number 81 on the Pop 100 chart, and number 74 on the Billboard Hot Digital Songs chart.",The song reached number 81 on the Pop 100 chart and number 74 on the Billboard Hot Digital Songs chart.,,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
153591,For other uses of Gisborne see Gisborne (disambiguation) .,"For other uses of the name Gisborne, see Gisborne (disambiguation).",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
27405,"An account of his experiences, which included being one of the first foreigners to visit Hiroshima after the atomic bomb was dropped, can be found in the book Warrior without Weapons.","His experiences, including being one of the first foreigners in Hiroshima after the atomic bomb, are in the book Warrior without Weapons.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
165495,The client authenticates to the AS once using a long-term shared secret (e.g. a password) and receives a TGT from the AS.,The client logs into the AS with a password and gets a TGT from the AS.,,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
49042,"It was his performances of this role that would earn him the title of ""King of the High Cs"" .","His performances in that role made him known as the ""King of the High Cs.""",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
95091,"Ann Jillian was born Ann Jura Nauseda in 1950, although some sources mistakenly cite 1951.","Ann Jillian was born Ann Jura Nauseda in 1950, though some say 1951.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
23480,For use on the various pages on multiple unit trains.,This is for use on pages for multiple unit trains.,,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
76021,"After high school, Carroll attended junior college at the nearby College of Marin, where he played football for two years (lettering in his second year) , before transferring to the University of the Pacific, where he was a member of Sigma Alpha Epsilon fraternity.","After high school, Carroll played football at the College of Marin for two years before transferring to the University of the Pacific, where he joined the Sigma Alpha Epsilon fraternity.",,"Simplify each of these 50 unrelated sentences one by one. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ","Turn each of these 50 unrelated sentences into simple language. Retain the essential information from the original sentence. Simple language is characterized by simple sentence structures and simple words. Return only the simplified sentences, no numbering, no comments or explanations. ORIGINAL SENTENCES : ",ChatGPT-4o
,,,,,,
